"land_id","drag_id","docking_date_yy","docking_date_mm","vessel_number","grid_code","target_species_code","trawl_length_hh"
"RSA, 9, 244, 10/5/2004 20:0","RSA, 9, 244, 10/5/2004 20:0, 7/5/2004 6:0","2004","5","244","514","HAKE",2.5
"RSA, 9, 244, 17/2/2004 7:0","RSA, 9, 244, 17/2/2004 7:0, 12/2/2004 5:30","2004","2","244","540","HAKE",2.5
"RSA, 9, 244, 26/7/2006 6:0","RSA, 9, 244, 26/7/2006 6:0, 20/7/2006 16:0","2006","7","244","513","HAKE",3
"RSA, 59, 191, 13/9/2006 21:0","RSA, 59, 191, 13/9/2006 21:0, 11/9/2006 10:30","2006","9","191","512","HAKE",3.5
"RSA, 59, 191, 13/9/2006 21:0","RSA, 59, 191, 13/9/2006 21:0, 13/9/2006 4:0","2006","9","191","512","HAKE",4
"RSA, 9, 93, 14/12/2006 6:0","RSA, 9, 93, 14/12/2006 6:0, 8/12/2006 6:0","2006","12","93","554","HAKE",3
"RSA, 9, 96, 29/7/2004 6:0","RSA, 9, 96, 29/7/2004 6:0, 23/7/2004 13:30","2004","7","96","525","HAKE",3
"RSA, 9, 244, 12/10/2006 6:0","RSA, 9, 244, 12/10/2006 6:0, 8/10/2006 7:0","2006","10","244","514","HAKE",3.5
"RSA, 9, 93, 14/10/2004 6:0","RSA, 9, 93, 14/10/2004 6:0, 12/10/2004 16:30","2004","10","93","554","HAKE",2.5
"RSA, 9, 93, 5/10/2006 6:0","RSA, 9, 93, 5/10/2006 6:0, 3/10/2006 13:30","2006","10","93","512","HAKE",3
"RSA, 125, 225, 25/3/2004 7:0","RSA, 125, 225, 25/3/2004 7:0, 22/3/2004 15:30","2004","3","225","526","HAKE",3.5
"RSA, 9, 244, 5/4/2004 6:0","RSA, 9, 244, 5/4/2004 6:0, 3/4/2004 12:30","2004","4","244","525","HAKE",2.16666666666667
"RSA, 9, 244, 8/8/2004 7:0","RSA, 9, 244, 8/8/2004 7:0, 7/8/2004 7:0","2004","8","244","554","HAKE",2.5
"RSA, 59, 191, 10/8/2006 7:0","RSA, 59, 191, 10/8/2006 7:0, 5/8/2006 0:1","2006","8","191","524","HAKE",5.98333333333333
"RSA, 59, 191, 14/12/2006 7:0","RSA, 59, 191, 14/12/2006 7:0, 13/12/2006 23:30","2006","12","191","524","ECSOLE",1.5
"RSA, 59, 191, 24/3/2004 8:0","RSA, 59, 191, 24/3/2004 8:0, 22/3/2004 18:0","2004","3","191","526","HAKE",2
"RSA, 9, 96, 18/11/2004 7:0","RSA, 9, 96, 18/11/2004 7:0, 16/11/2004 12:54","2004","11","96","554","HAKE",1.43333333333333
